WARD,Population
41804005,11108
41804006,9642
41804007,12196
41804008,10167
41804009,11381
41804010,11937
41804011,12630
41804012,17832
41804013,6541
41804014,12376
41804015,13093
41804016,13821
41804017,14173
41804018,9685
41804019,14259
41804020,11058
41804021,12823
41804022,12495
41804023,6653
41804024,6817
41804025,14589
41804026,8875
41804027,10144
41804028,8262
41804029,7711
41804030,9089
41804031,9207
41804032,11854
41804033,9721
41804034,12915
41804035,11693
41804036,11668
41805001,7136
41805002,5496
41805003,6688
41805004,7936
41805005,6615
41805006,5606
41805007,5484
41805008,5587
41805009,10622
41805010,6485
41805011,7945
41805012,5619
41901001,5494
41901002,10008
41901003,5419
41901004,5002
41901005,2797
41901006,10612
41901007,7131
41901008,8323
41901009,6208
41901010,3948
41901011,6281
41901012,5259
41901013,7515
41901014,5721
41901015,8704
41901016,7178
41901017,1734
41901018,5265
41902001,6132
41902002,4965
41902003,6694
41902004,6341
41902005,5097
41902006,6882
41902007,5300
41902008,5821
41902009,3016
41902010,3960
41902011,9464
41902012,9273
41902013,3276
41902014,6177
41902015,6611
41902016,5727
41902017,7014
41902018,7713
41902019,11336
41902020,7905
41903001,6785
41903002,7505
41903003,7926
41903004,5866
41903005,6043
41903006,6513
41903007,6452
41903008,5134
41903009,8102
41904001,14378
41904002,8903
41904003,8591
41904004,8428
41904005,10615
41904006,6582
41904007,8037
41904008,4794
41904009,10000
41904010,8796
41904011,8654
41904012,12846
41904013,8575
41904014,9486
41904015,9212
41904016,9357
41904017,7732
41904018,8071
41904019,9815
41904020,6899
41904021,9809
41904022,12089
41904023,9853
41904024,16428
41904025,7914
41904026,6750
41904027,9184
41904028,11871
41904029,9633
41904030,6872
41904031,8387
41904032,13013
41904033,12613
41904034,14917
41904035,6681
41905001,2320
41905002,6371
41905003,4128
41905004,5512
41905005,6878
41905006,5784
41905007,6477
41905008,10301
41906001,6348
41906002,5822
41906003,5759
41906004,7445
41906005,5367
41906006,4732
41906007,5261
41906008,5483
41906009,4839
42001001,7794
42001002,8179
